Date,NIFTY50
2022-07-13,15966.650391
2022-07-14,15938.650391
2022-07-15,16049.200195
2022-07-18,16278.500000
2022-07-19,16340.549805
2022-07-20,16520.849609
2022-07-21,16605.250000
2022-07-22,16719.449219
2022-07-25,16631.000000
2022-07-26,16483.849609
2022-07-27,16641.800781
2022-07-28,16929.599609
2022-07-29,17158.250000
2022-08-01,17340.050781
2022-08-02,17345.449219
2022-08-03,17388.150391
2022-08-04,17382.000000
2022-08-05,17397.500000
2022-08-08,17525.099609
2022-08-10,17534.750000
2022-08-11,17659.000000
2022-08-12,17698.150391
2022-08-16,17825.250000
2022-08-17,17944.250000
2022-08-18,17956.500000
2022-08-19,17758.449219
2022-08-22,17490.699219
2022-08-23,17577.500000
2022-08-24,17604.949219
2022-08-25,17522.449219
2022-08-26,17558.900391
2022-08-29,17312.900391
2022-08-30,17759.300781
2022-09-01,17542.800781
2022-09-02,17539.449219
2022-09-05,17665.800781
2022-09-06,17655.599609
2022-09-07,17624.400391
2022-09-08,17798.750000
2022-09-09,17833.349609
2022-09-12,17936.349609
2022-09-13,18070.050781
2022-09-14,18003.750000
2022-09-15,17877.400391
2022-09-16,17530.849609
2022-09-19,17622.250000
2022-09-20,17816.250000
2022-09-21,17718.349609
2022-09-22,17629.800781
2022-09-23,17327.349609
2022-09-26,17016.300781
2022-09-27,17007.400391
2022-09-28,16858.599609
2022-09-29,16818.099609
2022-09-30,17094.349609
2022-10-03,16887.349609
2022-10-04,17274.300781
2022-10-06,17331.800781
2022-10-07,17314.650391
2022-10-10,17241.000000
2022-10-11,16983.550781
2022-10-12,17123.599609
2022-10-13,17014.349609
2022-10-14,17185.699219
2022-10-17,17311.800781
2022-10-18,17486.949219
2022-10-19,17512.250000
2022-10-20,17563.949219
2022-10-21,17576.300781
2022-10-24,17730.750000
2022-10-25,17656.349609
2022-10-27,17736.949219
2022-10-28,17786.800781
2022-10-31,18012.199219
2022-11-01,18145.400391
2022-11-02,18082.849609
2022-11-03,18052.699219
2022-11-04,18117.150391
2022-11-07,18202.800781
2022-11-09,18157.000000
2022-11-10,18028.199219
2022-11-11,18349.699219
2022-11-14,18329.150391
2022-11-15,18403.400391
2022-11-16,18409.650391
2022-11-17,18343.900391
2022-11-18,18307.650391
2022-11-21,18159.949219
2022-11-22,18244.199219
2022-11-23,18267.250000
2022-11-24,18484.099609
2022-11-25,18512.750000
2022-11-28,18562.750000
2022-11-29,18618.050781
2022-11-30,18758.349609
2022-12-01,18812.500000
2022-12-02,18696.099609
2022-12-05,18701.050781
2022-12-06,18642.750000
2022-12-07,18560.500000
2022-12-08,18609.349609
2022-12-09,18496.599609
2022-12-12,18497.150391
2022-12-13,18608.000000
2022-12-14,18660.300781
2022-12-15,18414.900391
2022-12-16,18269.000000
2022-12-19,18420.449219
2022-12-20,18385.300781
2022-12-21,18199.099609
2022-12-22,18127.349609
2022-12-23,17806.800781
2022-12-26,18014.599609
2022-12-27,18132.300781
2022-12-28,18122.500000
2022-12-29,18191.000000
2022-12-30,18105.300781
2023-01-02,18197.449219
2023-01-03,18232.550781
2023-01-04,18042.949219
2023-01-05,17992.150391
2023-01-06,17859.449219
2023-01-09,18101.199219
2023-01-10,17914.150391
2023-01-11,17895.699219
2023-01-12,17858.199219
2023-01-13,17956.599609
2023-01-16,17894.849609
2023-01-17,18053.300781
2023-01-18,18165.349609
2023-01-19,18107.849609
2023-01-20,18027.650391
2023-01-23,18118.550781
2023-01-24,18118.300781
2023-01-25,17891.949219
2023-01-27,17604.349609
2023-01-30,17648.949219
2023-01-31,17662.150391
2023-02-01,17616.300781
2023-02-02,17610.400391
2023-02-03,17854.050781
2023-02-06,17764.599609
2023-02-07,17721.500000
2023-02-08,17871.699219
2023-02-09,17893.449219
2023-02-10,17856.500000
2023-02-13,17770.900391
2023-02-14,17929.849609
2023-02-15,18015.849609
2023-02-16,18035.849609
2023-02-17,17944.199219
2023-02-20,17844.599609
2023-02-21,17826.699219
2023-02-22,17554.300781
2023-02-23,17511.250000
2023-02-24,17465.800781
2023-02-27,17392.699219
2023-02-28,17303.949219
2023-03-01,17450.900391
2023-03-02,17321.900391
2023-03-03,17594.349609
2023-03-06,17711.449219
2023-03-08,17754.400391
2023-03-09,17589.599609
2023-03-10,17412.900391
2023-03-13,17154.300781
