date,headline,url
2023-10-19,Airtel in partnership with Ericsson tests India 1st RedCap technology,https://www.prokerala.com/news/articles/a1470634.html
2023-11-17,Bharti Airtel 5G coverage in Tamil Nadu has crossed over 4 . 2 million customers,https://www.siliconindia.com/news/general/bharti-airtels-5g-coverage-in-tamil-nadu-has-crossed-over-42-million-customers-nid-226525-cid-1.html
2023-10-10,"Taking Stock : Market bounces back , Sensex zooms 567 points , Nifty closes in on 19 , 700",https://www.moneycontrol.com/news/business/markets/taking-stock-market-bounces-back-sensex-zooms-567-points-nifty-closes-in-on-19700-11508951.html
2023-10-11,"3 insights to kick - start your day , featuring Amazon big call from space",https://economictimes.indiatimes.com/prime/primeshots/3-insights-to-kick-start-your-day-featuring-amazons-big-call-from-space/primearticleshow/104323289.cms
2023-10-22,"tcs : Mcap of top 10 valued firms plunge Rs 1 . 52 lakh cr last week ; Reliance , TCS biggest laggards",https://economictimes.indiatimes.com/markets/stocks/news/mcap-of-top-10-valued-firms-plunge-rs-1-52-lakh-cr-last-week-reliance-tcs-biggest-laggards/articleshow/104623665.cms
2023-10-22,"M - cap of top - 10 most valued firms erodes by Rs 1 . 52 lakh - crore ; Reliance , TCS biggest laggards",https://www.tribuneindia.com/news/business/m-cap-of-top-10-most-valued-firms-erodes-by-rs-1-52-lakh-crore-reliance-tcs-biggest-laggards-555600
2023-12-22,"Vodafone Idea hasnt made much headway in clearing Indus Tower dues : Gopal Vittal , MD , Bharti Airtel , ET Telecom",https://telecom.economictimes.indiatimes.com/news/industry/vodafone-idea-hasnt-made-much-headway-in-clearing-indus-towers-dues-gopal-vittal-md-bharti-airtel/106195497
2023-10-04,"Reliance Jio , Airtel to invest ₹75 , 000 crore in FY24 to strengthen network : JM Financials",https://www.livemint.com/industry/telecom/reliance-jio-airtel-to-invest-rs-75-000-crore-in-fy24-to-strengthen-network-jm-financials-11696440595645.html
2023-10-19,Airtel in partnership with Ericsson tests India 1st RedCap technology,https://www.siliconindia.com/news/business/airtel-in-partnership-with-ericsson-tests-indias-1st-redcap-technology-nid-226005-cid-3.html
2023-12-27,5G rollout | Department of Telecommunications plans to hold next round of 5G auctions by February,https://www.telegraphindia.com/business/department-of-telecommunications-plans-to-hold-next-round-of-5g-auctions-by-february/cid/1989593
2023-11-15,In Charts : Check out India top telecom tower operators as 5G rollout picks up pace,https://www.vccircle.com/incharts-check-out-india-s-top-telecom-tower-operators-as-5g-rollout-picks-up-pace
2023-11-05,"M - cap of 9 of top - 10 most valued firms surges Rs 97 , 463 cr ; Reliance leads",https://www.business-standard.com/markets/news/m-cap-of-9-of-top-10-most-valued-firms-surges-rs-97-463-cr-reliance-leads-123110500222_1.html
2023-11-05,"Mcap of 9 of top 10 most valued firms surges Rs 97 , 463 Cr ; Reliance Industries leads",https://social.yourstory.com:443/enterprise-story/2023/11/mcap-of-9-of-top-10-most-valued-firms-surges-reliance-leads
2023-11-05,"Mcap of 9 of top 10 most valued firms surges Rs 97 , 463 Cr ; Reliance Industries leads",https://her.yourstory.com:443/enterprise-story/2023/11/mcap-of-9-of-top-10-most-valued-firms-surges-reliance-leads
2023-11-05,"M - cap of nine of top - 10 most valued firms surges Rs 97 , 463 crore ; Reliance leads",https://www.tribuneindia.com/news/business/m-cap-of-nine-of-top-10-most-valued-firms-surges-rs-97-463-crore-reliance-leads-559725
2023-11-21,Nokia signs deal with Airtel to deploy next - gen optical transport network,https://www.prokerala.com/news/articles/a1480693.html
2023-11-05,"Mcap of nine of top - 10 most valued firms surges Rs 97 , 463 crore ; Reliance leads",https://www.dailypioneer.com/2023/business/mcap-of-nine-of-top-10-most-valued-firms-surges-rs-97-463-crore--reliance-leads.html
2023-10-22,Mcap of Top - 10 Valued Firms Plunges Rs 1 . 52 Lakh Crore,https://www.news18.com/business/mcap-of-top-10-valued-firms-plunge-rs-1-52-lakh-crore-8628934.html
2023-11-21,Bharti Airtel inches up on extending 5G coverage to all 34 districts of Maharashtra,https://udaipurkiran.com/bharti-airtel-inches-up-on-extending-5g-coverage-to-all-34-districts-of-maharashtra/
2023-10-31,"Stocks in news : Bharti Airtel , L & T , Tata Consumer , Tata Motors , Colgate",https://economictimes.indiatimes.com/markets/stocks/news/stocks-in-news-bharti-airtel-lt-tata-consumer-tata-motors-colgate/articleshow/104832586.cms
2023-10-31,"Bharti Airtel Q2 Net Profit Falls 37 . 5 % To Rs 1 , 341 Cr",https://www.news18.com/india/bharti-airtel-q2-net-profit-falls-37-5-to-rs-1341-cr-8642272.html
2023-10-31,"Latest News | Bharti Airtel Q2 Net Profit Falls 37 . 5 Pc to Rs 1 , 341 Crore",https://www.latestly.com/agency-news/latest-news-bharti-airtel-q2-net-profit-falls-37-5-pc-to-rs-1341-crore-5528745.html
2023-10-27,"India Mobile Congress 2023 : India will lead the world in 6G , says PM Modi",https://www.business-standard.com/economy/news/india-mobile-congress-2023-india-will-lead-the-world-in-6g-says-pm-modi-123102800008_1.html
2023-12-18,bharti airtel shares : Bharti Airtel : Sideways - The Economic Times,https://economictimes.indiatimes.com/markets/stocks/news/bharti-airtel-sideways/articleshow/106078681.cms
2023-12-24,"Mcap of three of 10 most valued firms jump Rs 70 , 312 . 7 cr ; Reliance biggest winner",https://www.dailyexcelsior.com/mcap-of-three-of-10-most-valued-firms-jump-rs-70312-7-cr-reliance-biggest-winner/
2023-10-02,India Surges 72 Places in Global Mobile Speed Rankings Thanks to 5G Expansion,https://www.telecomlead.com/5g/india-surges-72-places-in-global-mobile-speed-rankings-thanks-to-5g-expansion-112708
2023-11-22,Public Accounts Committee : Public Accounts Panel Inspects Various Places In Salem District | Coimbatore News,https://timesofindia.indiatimes.com/city/coimbatore/public-accounts-panel-inspects-various-places-in-salem-district/articleshow/105401486.cms
2023-11-16,Airtel extends 5G coverage to all 24 districts of Punjab,https://www.equitybulls.com/category.php?id=339987
2023-11-16,Airtel extends 5G coverage to all 38 districts of Tamil Nadu,https://www.equitybulls.com/category.php?id=339993
2023-12-14,Reliance becomes biggest wealth creator in last 5 years : Report,https://www.hindustantimes.com/business/reliance-becomes-biggest-wealth-creator-in-last-5-years-surpasses-tcs-infosys-report-101702566254266.html
2023-12-12,Meet man who got Rs 10 . 61 crore salary but resigned from top job at Rs 617700 crore company due to … ,https://www.dnaindia.com/business/report-meet-man-who-got-rs-1061-crore-salary-but-resigned-top-job-rs-617700-crore-company-due-nilanjan-roy-infosys-3071373
2023-11-07,"sensex today : Sensex falls 200 points amid weakness in Asian peers ; Nifty below 19 , 400",https://economictimes.indiatimes.com/markets/stocks/news/sensex-falls-200-points-amid-weakness-in-asian-peers-nifty-below-19400/articleshow/105027476.cms
2023-10-19,"Bharti Airtel collaborates with Amdocs to drive 5G , IoT monetisation , ET Telecom",https://telecom.economictimes.indiatimes.com/news/industry/bharti-airtel-collaborates-with-amdocs-to-drive-5g-iot-monetisation/104558648
2023-12-20,Reliance continues to be India most visible corporate in media : Wizikey,https://www.business-standard.com/companies/news/reliance-continues-to-be-india-s-most-visible-corporate-in-media-wizikey-123122000866_1.html
2023-10-02,India takes a remarkable jump on the global 5G speedtest Index in Q3 2023 : Ookla,https://www.fonearena.com/blog/406846/india-5g-global-speedtest-index-q3-2023-ookla.html
2023-11-29,"Sensex , Nifty Close On Buoyant Note",https://www.finanznachrichten.de/nachrichten-2023-11/60790016-sensex-nifty-close-on-buoyant-note-020.htm
2023-10-08,"TCS Biggest Gainer As Five Of Top - 10 Most Valued Firms Add Rs 86 , 235 Crore To Market Cap",https://www.bqprime.com/business/tcs-biggest-gainer-as-five-of-top-10-most-valued-firms-add-rs-86235-crore-to-market-cap
2023-12-01,7 ways Vastu can affect your marital life | The Times of India,https://timesofindia.indiatimes.com/life-style/relationships/love-sex/7-ways-vastu-can-affect-your-marital-life/photostory/105621443.cms
2023-11-02,"Bharti Airtel B2B arm launches platform for interconnect solutions , ET Telecom",https://telecom.economictimes.indiatimes.com/news/industry/bharti-airtels-b2b-arm-launches-platform-for-interconnect-solutions/104916503
2023-11-25,"Airtel Launches New Plan With Free Netflix Basic Subscription , Unlimited 5G Data , And More",https://zeenews.india.com:443/technology/airtel-launches-free-netflix-basic-subscription-unlimited-5g-data-and-more-with-this-plan-2692099.html
2023-10-02,"A year on , 5G speeds , sign ups accelerate",https://economictimes.indiatimes.com/industry/telecom/telecom-news/a-year-on-5g-speeds-sign-ups-accelerate/articleshow/104113976.cms
